City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
190,Rawson,AR,-43.3002,-65.1023,59.67,84,100,21.07,overcast clouds
191,Traverse City,US,44.7631,-85.6206,33.8,51,90,13.8,overcast clouds
192,Port Macquarie,AU,-31.4333,152.9167,61.0,99,90,1.01,overcast clouds
193,Asau,RO,46.4333,26.4,50.0,37,100,2.26,overcast clouds
194,Yining,CN,29.0361,114.5636,65.84,96,100,3.02,overcast clouds
195,Zhigansk,RU,66.7697,123.3711,12.99,86,100,5.84,overcast clouds
196,Kahului,US,20.8947,-156.47,75.2,83,20,12.66,few clouds
197,Kruisfontein,ZA,-34.0033,24.7314,64.99,85,47,3.0,scattered clouds
198,Taoudenni,ML,22.6783,-3.9836,92.41,4,100,10.63,overcast clouds
199,Alice Springs,AU,-23.7,133.8833,57.2,58,0,1.14,clear sky
200,Milkovo,RU,54.7167,158.6167,27.81,88,100,2.62,overcast clouds
201,Vostok,RU,46.4856,135.8833,20.82,93,39,4.05,scattered clouds
202,Gomel,BY,52.4345,30.9754,51.01,93,27,8.95,mist
203,Mering,DE,48.2656,10.9846,59.0,44,9,2.06,clear sky
204,Salalah,OM,17.0151,54.0924,86.0,42,0,2.3,clear sky
205,Hambantota,LK,6.1241,81.1185,80.6,100,0,6.91,clear sky
206,Kansanshi,ZM,-12.0951,26.4273,59.81,97,14,4.56,few clouds
207,Komsomolskiy,UZ,40.4272,71.7189,50.0,46,75,2.3,broken clouds
208,Mount Gambier,AU,-37.8333,140.7667,51.8,82,11,1.14,few clouds
209,Bethel,US,41.3712,-73.414,62.6,63,90,14.97,overcast clouds
210,Tucupita,VE,9.0622,-62.051,89.64,41,100,8.41,overcast clouds
211,Port Blair,IN,11.6667,92.75,80.71,77,100,5.17,overcast clouds
212,Varhaug,NO,58.6147,5.6457,41.0,89,96,21.63,overcast clouds
213,Mackay,AU,-21.15,149.2,70.0,94,40,14.97,scattered clouds
214,Yar-Sale,RU,66.8333,70.8333,9.07,93,100,21.65,light snow
215,Richards Bay,ZA,-28.783,32.0377,72.3,87,0,4.54,clear sky
216,Banda Aceh,ID,5.5577,95.3222,79.52,74,100,16.91,overcast clouds
217,Hasaki,JP,35.7333,140.8333,55.4,71,75,6.91,broken clouds
218,Poum,NC,-20.2333,164.0167,78.58,76,100,14.7,light rain
219,Santo Antonio Do Ica,BR,-3.1022,-67.9397,82.11,73,100,1.72,overcast clouds
220,Ossora,RU,59.2353,163.0719,15.21,95,100,3.83,overcast clouds
221,Maniitsoq,GL,65.4167,-52.9,23.18,75,100,16.06,overcast clouds
222,Sao Filipe,CV,14.8961,-24.4956,70.95,78,0,9.91,clear sky
223,Giresun,TR,40.5,38.5,46.4,100,75,1.14,broken clouds
224,Sorland,NO,67.667,12.6934,41.0,81,40,18.41,scattered clouds
