City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
459,Eureka,US,71.01,clear sky,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
461,Payo,ID,72.73,moderate rain,-3.7508,103.6372,Mess keban agung
463,Pontian Kecil,MY,81.0,few clouds,1.4801,103.3899,SUNFLOWER EXPRESS HOTEL
465,Nampula,MZ,73.4,few clouds,-15.1165,39.2666,BUTIK Hotel
469,Santiago,CL,78.01,haze,-33.4569,-70.6483,Che Lagarto Hostel Santiago
470,Mangrol,IN,78.01,few clouds,21.1167,70.1167,Hotel The Royal Honours
472,El Alto,PE,89.6,few clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
473,Rust,DE,73.4,clear sky,48.2667,7.7333,Hotel-Restaurant Löwen
474,Necochea,AR,73.99,broken clouds,-38.5473,-58.7368,dyd -mar Hotel
477,Doha,QA,75.99,clear sky,25.2867,51.5333,Doha Marriott Hotel
478,Inhambane,MZ,77.0,few clouds,-23.865,35.3833,Oceano
481,San Fernando,PH,80.6,scattered clouds,15.0286,120.6898,Maharlika Hostel
482,Maracacume,BR,80.46,heavy intensity rain,-2.0428,-45.9592,Hotel Ramos
484,Asuncion,PY,80.6,broken clouds,-25.3007,-57.6359,Crowne Plaza Asuncion
487,Elesbao Veloso,BR,84.97,overcast clouds,-6.2019,-42.1403,Pousada Paraiso
488,Vanimo,PG,76.17,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
491,Sabang,ID,82.06,overcast clouds,5.8933,95.3214,Hotel Citra
492,Bellview,US,80.01,overcast clouds,30.4616,-87.315,Hospitality Inn Management Co
496,Loiza,PR,82.4,scattered clouds,18.4313,-65.8802,Malibu Beachfront
499,Dondo,MZ,75.2,few clouds,-19.6094,34.7431,Arco Iris
501,Sibu,MY,77.0,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
502,Bambanglipuro,ID,76.08,overcast clouds,-7.95,110.2833,Puri Brata
507,San Cristobal,VE,80.6,broken clouds,7.7669,-72.225,Posada Villaven C.A.
508,Veraval,IN,78.08,broken clouds,20.9,70.3667,Lords Inn Somnath
516,Coari,BR,82.98,overcast clouds,-4.085,-63.1414,HOTEL ALEX FLAT
518,Cayenne,GF,86.0,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
520,Vung Tau,VN,79.77,broken clouds,10.345999999999998,107.0843,Green hotel
525,Qui Nhon,VN,76.17,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
526,Pran Buri,TH,86.0,overcast clouds,12.3847,99.9098,Waterside Resort
531,Kundian,PK,73.09,clear sky,32.4587,71.4775,AL YOUSAF ISHTAM & PROPERTY ADVISIOR
