City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
280,Rasskazovo,RU,2021-03-29 22:23:51,52.6714,41.9033,18.61,97,29,5.17
281,Isilkul,RU,2021-03-29 22:23:51,54.9109,71.2728,17.78,93,100,9.19
282,Port Hedland,AU,2021-03-29 22:23:51,-20.3167,118.5667,80.6,47,40,6.91
283,Klaksvik,FO,2021-03-29 22:23:14,62.2266,-6.589,39.2,75,75,2.3
284,Flin Flon,CA,2021-03-29 22:23:52,54.7682,-101.865,17.6,86,90,14.97
285,Erzin,TR,2021-03-29 22:23:52,36.9559,36.2,53.01,66,0,2.98
286,Nanortalik,GL,2021-03-29 22:23:52,60.1432,-45.2371,27.43,56,66,3.87
287,Semey,KZ,2021-03-29 22:23:53,50.4111,80.2275,22.24,85,11,8.7
288,Samarai,PG,2021-03-29 22:23:53,-10.6167,150.6667,83.73,74,100,11.39
289,San Cristobal,VE,2021-03-29 22:23:26,7.7669,-72.225,82.4,65,75,3.44
290,Itarema,BR,2021-03-29 22:23:53,-2.9248,-39.9167,78.37,82,57,7.25
291,Brae,GB,2021-03-29 22:23:54,60.3964,-1.353,42.8,100,90,3.44
292,Staunton,US,2021-03-29 22:22:41,38.1496,-79.0717,60.01,25,1,2.46
293,Caravelas,BR,2021-03-29 22:23:54,-17.7125,-39.2481,78.57,72,0,8.1
294,Kodiak,US,2021-03-29 22:23:54,57.79,-152.4072,48.2,57,75,10.36
